name,genre,type,episodes,rating
haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25,8.68
hajime no ippo: rising,"Comedy, Drama, Shounen, Sports",TV,25,8.68
kara no kyoukai 5: mujun rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1,8.68
natsume yuujinchou san,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.67
ping pong the animation,"Psychological, Seinen, Sports",TV,11,8.67
mushishi special: hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.66
boku dake ga inai machi,"Mystery, Psychological, Seinen, Supernatural",TV,12,8.65
yojouhan shinwa taikei,"Mystery, Psychological, Romance",TV,11,8.65
aria the origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,8.64
kamisama hajimemashita: kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4,8.64
rainbow: nisha rokubou no shichinin,"Drama, Historical, Seinen, Thriller",TV,26,8.64
re:zero kara hajimeru isekai seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25,8.64
tengen toppa gurren lagann movie: lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,8.64
zoku natsume yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.64
ano hi mita hana no namae wo bokutachi wa mada shiranai.,"Drama, Slice of Life, Supernatural",TV,11,8.62
kuroko no basket 3rd season,"Comedy, School, Shounen, Sports",TV,25,8.62
steins;gate movie: fuka ryouiki no déjà vu,"Sci-Fi, Thriller",Movie,1,8.61
hotarubi no mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1,8.61
shokugeki no souma,"Ecchi, School, Shounen",TV,24,8.61
yuri!!! on ice,"Comedy, Sports",TV,12,8.61
gintama: yorinuki gintama-san on theater 2d,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,8.6
jojo no kimyou na bouken: stardust crusaders 2nd season,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.6
gintama movie: shinyaku benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,8.59
hellsing ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,8.59
kiseijuu: sei no kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59
shouwa genroku rakugo shinjuu,"Drama, Historical, Josei",TV,13,8.59
uchuu kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,8.59
bakemono no ko,"Adventure, Supernatural",Movie,1,8.58
hotaru no haka,"Drama, Historical",Movie,1,8.58
kuroko no basket 2nd season,"Comedy, School, Shounen, Sports",TV,25,8.58
major s5,"Comedy, Drama, Romance, Sports",TV,25,8.58
one piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,Unknown,8.58
ghost in the shell: stand alone complex 2nd gig,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,8.57
jojo no kimyou na bouken: diamond wa kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39,8.57
kara no kyoukai 7: satsujin kousatsu (kou),"Action, Mystery, Romance, Supernatural, Thriller",Movie,1,8.57
kingdom 2nd season,"Action, Historical, Military, Seinen",TV,39,8.57
slam dunk,"Comedy, Drama, School, Shounen, Sports",TV,101,8.56
usagi drop,"Josei, Slice of Life",TV,11,8.56
girls und panzer der film,"Military, School",Movie,1,8.55
mob psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12,8.55
nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,8.55
baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,8.54
mushishi zoku shou: odoro no michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.54
shingeki no kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54
bakuman. 2nd season,"Comedy, Drama, Romance, Shounen",TV,25,8.53
cross game,"Comedy, Drama, Romance, School, Sports",TV,50,8.53
doukyuusei (movie),"Romance, School, Shounen Ai, Slice of Life",Movie,1,8.53
evangelion: 2.0 you can (not) advance,"Action, Mecha, Sci-Fi",Movie,1,8.53
shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53
uchuu senkan yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,26,8.53
chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.52
fate/zero,"Action, Fantasy, Supernatural",TV,13,8.51
jojo no kimyou na bouken (tv),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26,8.51
mahou shoujo madoka★magica,"Drama, Magic, Psychological, Thriller",TV,12,8.51
nichijou,"Comedy, School, Slice of Life",TV,26,8.52
psycho-pass,"Action, Police, Psychological, Sci-Fi",TV,22,8.5
barakamon,"Comedy, Slice of Life",TV,12,8.5
diamond no ace: second season,"Comedy, School, Shounen, Sports",TV,51,8.5
magi: the kingdom of magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.5
mahou shoujo madoka★magica movie 3: hangyaku no monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.5
major: world series,"Comedy, Drama, Sports",OVA,2,8.5
samurai champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,8.5
shokugeki no souma: ni no sara,"Ecchi, School, Shounen",TV,13,8.5
katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12,8.49
mahou shoujo madoka★magica movie 2: eien no monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.49
major s6,"Comedy, Drama, Sports",TV,25,8.49
mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12,8.49
shirobako,"Comedy, Drama",TV,24,8.49
ashita no joe 2,"Drama, Sports",TV,47,8.48
hunter x hunter,"Action, Adventure, Shounen, Super Power",TV,62,8.48
noragami aragoto,"Action, Adventure, Shounen, Supernatural",TV,13,8.48
sakamichi no apollon,"Drama, Josei, Music, Romance, School",TV,12,8.48
tonari no totoro,"Adventure, Comedy, Supernatural",Movie,1,8.48
ghost in the shell: stand alone complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,8.47
kaze no tani no nausicaä,"Adventure, Fantasy",Movie,1,8.47
no game no life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,8.47
romeo no aoi sora,"Adventure, Drama, Historical, Slice of Life",TV,33,8.47
yuu☆yuu☆hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,8.47
kino no tabi: the beautiful world,"Action, Adventure, Slice of Life",TV,13,8.46
kuroko no basket,"Comedy, School, Shounen, Sports",TV,25,8.46
nodame cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23,8.46
ookami to koushinryou ii,"Adventure, Fantasy, Historical, Romance",TV,12,8.46
shingeki no kyojin: kuinaki sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,2,8.45
steins;gate: oukoubakko no poriomania,"Sci-Fi, Thriller",Special,1,8.46
fate/stay night: unlimited blade works 2nd season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13,8.45
kemono no souja erin,"Drama, Fantasy",TV,50,8.45
kizumonogatari i: tekketsu-hen,"Mystery, Supernatural, Vampire",Movie,1,8.45
neon genesis evangelion: the end of evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,8.45
toradora!,"Comedy, Romance, School, Slice of Life",TV,25,8.45
toki wo kakeru shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1,8.44
tsubasa: tokyo revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3,8.44
owarimonogatari,"Comedy, Mystery, Supernatural",TV,12,8.43
rurouni kenshin: meiji kenkaku romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94,8.43
stranger: mukou hadan,"Action, Adventure, Historical, Samurai",Movie,1,8.43
detective conan movie 06: the phantom of baker street,"Adventure, Mystery, Police, Shounen",Movie,1,8.42
fate/stay night: unlimited blade works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,8.42
major s1,"Comedy, Drama, Shounen, Sports",TV,26,8.42
mobile suit gundam: the origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,8.42
nanatsu no taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24,8.42
natsume yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.42
one piece film: strong world,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.42
higurashi no naku koro ni kai,"Mystery, Psychological, Supernatural, Thriller",TV,24,8.41
hunter x hunter ova,"Action, Adventure, Shounen, Super Power",OVA,8,8.41
hunter x hunter: greed island final,"Action, Adventure, Shounen, Super Power",OVA,14,8.41
kuroshitsuji: book of murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,2,8.41
major s2,"Comedy, Drama, Shounen, Sports",TV,26,8.41
one outs,"Psychological, Seinen, Sports",TV,25,8.41
beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,8.4
berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,8.4
cowboy bebop: tengoku no tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,8.4
major s3,"Drama, Shounen, Sports",TV,26,8.4
mobile suit gundam unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7,8.4
natsume yuujinchou: itsuka yuki no hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,1,8.4
nhk ni youkoso!,"Comedy, Drama, Psychological, Romance",TV,24,8.4
rose of versailles,"Adventure, Drama, Historical, Romance, Shoujo",TV,40,8.4
sakurasou no pet na kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,24,8.4
angel beats!,"Action, Comedy, Drama, School, Supernatural",TV,13,8.39
bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,15,8.39
bungou stray dogs 2nd season,"Mystery, Seinen, Supernatural",TV,12,8.39
hajime no ippo: champion road,"Comedy, Shounen, Sports",Special,1,8.39
one piece film: z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.39
ouran koukou host club,"Comedy, Harem, Romance, School, Shoujo",TV,26,8.39
detective conan movie 13: the raven chaser,"Action, Mystery, Police, Shounen",Movie,1,8.38
durarara!!,"Action, Mystery, Supernatural",TV,24,8.38
nodame cantabile finale,"Comedy, Josei, Music, Romance",TV,11,8.38
planetes,"Drama, Romance, Sci-Fi, Seinen, Space",TV,26,8.38
shelter,"Music, Sci-Fi",Music,1,8.38
tenkuu no shiro laputa,"Adventure, Fantasy, Romance, Sci-Fi",Movie,1,8.38
gintama: shiroyasha koutan,"Action, Comedy, Historical, Parody, Sci-Fi",Special,1,8.37
hachimitsu to clover ii,"Drama, Josei, Romance",TV,12,8.37
inuyasha: kanketsu-hen,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",TV,26,8.37
kaguya-hime no monogatari,"Fantasy, Historical",Movie,1,8.37
katekyo hitman reborn!,"Action, Comedy, Shounen, Super Power",TV,203,8.37
kuroshitsuji: book of circus,"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,10,8.37
ookami to koushinryou,"Adventure, Fantasy, Historical, Romance",TV,13,8.37
boku no hero academia,"Action, Comedy, School, Shounen, Super Power",TV,13,8.36
gin no saji 2nd season,"Comedy, School, Shounen, Slice of Life",TV,11,8.36
little busters!: refrain,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,13,8.36
major: message,"Comedy, Drama, Sports",OVA,1,8.36
saint seiya: the lost canvas - meiou shinwa 2,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,13,8.36
sket dance,"Comedy, School, Shounen",TV,77,8.36
bakuman.,"Comedy, Romance, Shounen",TV,25,8.35
danshi koukousei no nichijou,"Comedy, School, Shounen, Slice of Life",TV,12,8.35
kotonoha no niwa,"Drama, Psychological, Romance, Slice of Life",Movie,1,8.35
kyoukai no kanata movie: i&#039;ll be here - mirai-hen,"Fantasy, Slice of Life, Supernatural",Movie,1,8.35
major s4,"Comedy, Drama, Shounen, Sports",TV,26,8.35
omoide no marnie,"Drama, Mystery, Psychological",Movie,1,8.35
working!!!: lord of the takanashi,"Comedy, Romance, Slice of Life",Special,1,8.34
ghost in the shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,8.34
k-on! movie,"Comedy, Music, Slice of Life",Movie,1,8.34
kuroko no basket: saikou no present desu,"Action, School, Shounen, Sports",Special,1,8.34
mahou shoujo lyrical nanoha: the movie 2nd a&#039;s,"Action, Comedy, Drama, Magic, Super Power",Movie,1,8.34
sennen joyuu,"Action, Adventure, Drama, Fantasy, Historical, Romance",Movie,1,8.34
steins;gate: kyoukaimenjou no missing link - divide by zero,"Sci-Fi, Thriller",Special,1,8.34
xxxholic kei,"Comedy, Drama, Mystery, Psychological, Supernatural",TV,13,8.34
berserk: ougon jidai-hen iii - kourin,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",Movie,1,8.33
death parade,"Drama, Game, Mystery, Psychological, Thriller",TV,12,8.33
fullmetal alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,8.33
gyakkyou burai kaiji: ultimate survivor,"Game, Psychological, Seinen, Thriller",TV,26,8.33
hunter x hunter: greed island,"Action, Adventure, Shounen, Super Power",OVA,8,8.33
redline,"Action, Cars, Sci-Fi, Sports",Movie,1,8.33
chihayafuru,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.32
detective conan movie 20: the darkest nightmare,"Action, Mystery, Police, Shounen",Movie,1,8.32
dragon ball z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,291,8.32
fate/stay night: unlimited blade works - prologue,"Action, Fantasy, Magic, Shounen, Supernatural",Special,1,8.32
kokoro ga sakebitagatterunda.,"Drama, Romance, School",Movie,1,8.32
mimi wo sumaseba,"Adventure, Drama, Fantasy, Romance, Slice of Life",Movie,1,8.32
nagi no asukara,"Drama, Fantasy, Romance",TV,26,8.32
neon genesis evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,26,8.32
one piece film: gold,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.32
tokyo godfathers,"Comedy, Drama",Movie,1,8.32
trigun,"Action, Comedy, Sci-Fi",TV,26,8.32
xxxholic rou,"Mystery, Supernatural",OVA,2,8.32
gintama: shinyaku benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,1,8.31
mahou shoujo madoka★magica movie 1: hajimari no monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.31
sekaiichi hatsukoi 2,"Comedy, Drama, Romance, Shounen Ai",TV,12,8.31
yahari ore no seishun love comedy wa machigatteiru. zoku,"Comedy, Drama, Romance, School",TV,13,8.31
yahari ore no seishun love comedy wa machigatteiru. zoku ova,"Comedy, Romance, School",OVA,1,8.31
aria the natural,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,26,8.3
black lagoon: the second barrage,"Action, Seinen",TV,12,8.3
clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,23,8.3
kami nomi zo shiru sekai: megami-hen,"Comedy, Harem, Romance, Shounen, Supernatural",TV,12,8.3
summer wars,"Comedy, Sci-Fi",Movie,1,8.3
baccano! specials,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",Special,3,8.29
detective conan movie 14: the lost ship in the sky,"Action, Mystery, Police, Shounen",Movie,1,8.29
gyakkyou burai kaiji: hakairoku-hen,"Game, Psychological, Seinen, Thriller",TV,26,8.29
initial d final stage,"Cars, Seinen, Sports",TV,4,8.29
kaiba,"Adventure, Mystery, Romance, Sci-Fi",TV,12,8.29
one piece: episode of merry - mou hitori no nakama no monogatari,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1,8.29
saiki kusuo no ψ-nan (tv),"Comedy, School, Shounen, Supernatural",TV,120,8.29
cardcaptor sakura movie 2: fuuin sareta card,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo",Movie,1,8.28
hajime no ippo: mashiba vs. kimura,"Comedy, Shounen, Sports",OVA,1,8.28
kamisama hajimemashita◎,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",TV,12,8.28
skip beat!,"Comedy, Drama, Romance, Shoujo",TV,25,8.28
yowamushi pedal: grande road,"Comedy, Drama, Shounen, Sports",TV,24,8.28
gankutsuou,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV,24,8.27
majo no takkyuubin,"Adventure, Comedy, Drama, Fantasy, Magic, Romance",Movie,1,8.27
nodame cantabile: paris-hen,"Comedy, Josei, Music, Romance, Slice of Life",TV,11,8.27
one piece: episode of nami - koukaishi no namida to nakama no kizuna,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1,8.27
osomatsu-san,"Comedy, Parody",TV,25,8.27
space☆dandy 2nd season,"Comedy, Sci-Fi, Space",TV,13,8.27
tsumiki no ie,Drama,Movie,1,8.27
detroit metal city,"Comedy, Music",OVA,12,8.26
eve no jikan,"Sci-Fi, Slice of Life",ONA,6,8.26
eve no jikan (movie),"Sci-Fi, Slice of Life",Movie,1,8.26
kaichou wa maid-sama!,"Comedy, Romance, School, Shoujo",TV,26,8.26
saint seiya: meiou hades juuni kyuu-hen,"Adventure, Sci-Fi, Shounen",OVA,13,8.26
zankyou no terror,"Psychological, Thriller",TV,11,8.26
darker than black: kuro no keiyakusha,"Action, Mystery, Sci-Fi, Super Power",TV,25,8.25
detective conan,"Adventure, Comedy, Mystery, Police, Shounen",TV,Unknown,8.25
detective conan movie 05: countdown to heaven,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,8.25
diamond no ace,"Comedy, School, Shounen, Sports",TV,75,8.25
fairy tail (2014),"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,102,8.25
hibike! euphonium 2,"Drama, Music, School",TV,13,8.25
jojo no kimyou na bouken: stardust crusaders,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.25
maison ikkoku,"Comedy, Drama, Romance, Slice of Life",TV,96,8.25
non non biyori repeat,"Comedy, School, Seinen, Slice of Life",TV,12,8.26
shijou saikyou no deshi kenichi,"Action, Comedy, Martial Arts, School, Shounen",TV,50,8.25
yuusha-ou gaogaigar final,"Adventure, Drama, Mecha, Sci-Fi, Shounen",OVA,8,8.25
gekkan shoujo nozaki-kun,"Comedy, Romance, School",TV,12,8.24
initial d fourth stage,"Action, Cars, Drama, Seinen, Sports",TV,24,8.24
junjou romantica 2,"Comedy, Drama, Romance, Shounen Ai",TV,12,8.24
kaze tachinu,"Drama, Historical, Romance",Movie,1,8.24
kingdom,"Action, Historical, Military, Seinen",TV,38,8.24
kuragehime,"Comedy, Josei, Slice of Life",TV,11,8.24
magi: the labyrinth of magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.24
mobile suit gundam 00,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,25,8.24
relife,"Romance, School, Slice of Life",TV,13,8.24
saint seiya: the lost canvas - meiou shinwa,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,13,8.24
seirei no moribito,"Action, Adventure, Fantasy, Historical",TV,26,8.24
akatsuki no yona,"Action, Adventure, Comedy, Fantasy, Romance, Shoujo",TV,24,8.23
detective conan movie 08: magician of the silver sky,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,8.23
durarara!!x2 ketsu,"Action, Mystery, Supernatural",TV,12,8.23
free!: eternal summer special,"Comedy, School, Slice of Life",Special,1,8.23
glass no kamen (2005),"Drama, Shoujo",TV,51,8.23
gosick,"Drama, Historical, Mystery, Romance",TV,24,8.23
hajime no ippo: boxer no kobushi,"Comedy, Drama, Shounen, Sports",Special,1,8.23
initial d first stage,"Action, Cars, Drama, Seinen, Sports",TV,26,8.23
kill la kill,"Action, Comedy, School, Super Power",TV,24,8.23
lovely★complex,"Comedy, Romance, Shoujo",TV,24,8.23
perfect blue,"Dementia, Drama, Horror, Psychological",Movie,1,8.23
princess tutu,"Comedy, Fantasy, Magic, Romance",TV,38,8.23
sakasama no patema,"Sci-Fi, Seinen",Movie,1,8.23
tsubasa: shunraiki,"Action, Adventure, Drama, Fantasy, Magic, Mystery, Romance, Shounen, Supernatural",OVA,2,8.23
ashita no joe,"Drama, Sports",TV,79,8.22
fairy tail,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,175,8.22
ghost in the shell: stand alone complex - solid state society,"Mecha, Military, Mystery, Police, Sci-Fi, Seinen",Special,1,8.22
magi: sinbad no bouken (tv),"Action, Adventure, Fantasy, Magic, Shounen",TV,13,8.22
shoujo kakumei utena,"Drama, Fantasy, Psychological, Shoujo",TV,39,8.22
tengen toppa gurren lagann movie: gurren-hen,"Action, Comedy, Mecha",Movie,1,8.22
detective conan movie 10: requiem of the detectives,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,8.21
evangelion: 1.0 you are (not) alone,"Action, Mecha, Sci-Fi",Movie,1,8.21
full metal panic? fumoffu,"Action, Comedy, School",TV,12,8.21
ginga eiyuu densetsu: arata naru tatakai no overture,"Action, Drama, Military, Sci-Fi, Space",Movie,1,8.21
kara no kyoukai 3: tsuukaku zanryuu,"Action, Drama, Mystery, Supernatural, Thriller",Movie,1,8.21
mobile suit gundam 00 second season,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,25,8.21
nisemonogatari,"Comedy, Mystery, Supernatural",TV,11,8.21
tsukimonogatari,"Comedy, Mystery, Supernatural",TV,4,8.21
ansatsu kyoushitsu (tv),"Action, Comedy, School, Shounen",TV,22,8.2
aria the avvenire,"Fantasy, Sci-Fi, Shounen, Slice of Life",Special,3,8.2
baby steps 2nd season,"Romance, School, Shounen, Sports",TV,25,8.2
d.gray-man,"Action, Adventure, Comedy, Shounen",TV,103,8.2
"ginga eiyuu densetsu gaiden: senoku no hoshi, senoku no hikari","Action, Military, Sci-Fi, Space",OVA,24,8.2
gintama: jump festa 2014 special,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,1,8.2
lupin iii: cagliostro no shiro,"Adventure, Comedy, Shounen",Movie,1,8.2
mobile suit gundam: iron-blooded orphans 2nd season,"Action, Drama, Mecha, Sci-Fi, Space",TV,25,8.2
ookiku furikabutte: natsu no taikai-hen,"Comedy, Sports",TV,13,8.2
saiunkoku monogatari 2nd season,"Adventure, Comedy, Drama, Fantasy, Historical, Romance",TV,39,8.2
sekaiichi hatsukoi movie: yokozawa takafumi no baai,"Comedy, Drama, Romance, Shounen Ai",Movie,1,8.2
ano hi mita hana no namae wo bokutachi wa mada shiranai. movie,"Drama, Slice of Life, Supernatural",Movie,1,8.19
dennou coil,"Adventure, Comedy, Drama, Mystery, Sci-Fi",TV,26,8.19
eureka seven,"Adventure, Drama, Mecha, Romance, Sci-Fi",TV,50,8.19
ghost in the shell: stand alone complex - the laughing man,"Action, Mecha, Mystery, Police, Psychological, Sci-Fi, Seinen",Special,1,8.19
gintama: dai hanseikai,"Action, Comedy, Parody, Samurai",Special,1,8.19
hidamari sketch: sae hiro sotsugyou-hen,"Comedy, School, Slice of Life",OVA,2,8.19
hikaru no go,"Comedy, Game, Shounen, Supernatural",TV,75,8.19
kimi ni todoke,"Romance, School, Shoujo, Slice of Life",TV,25,8.19
